Customer_ID,Business_Type,Customer_Segment,Industry,State,City,Registration_Date,Registration_Month,Business_Age,Number_of_Employees,Monthly_Revenue_Capped,Risk_Score,Churn_Status,Acquisition_Channel,Is_Moniebook_User,First_Moniebook_Usage_Date,Days_To_Adopt_Moniebook,Moniebook_Usage_Events,Moniebook_Sessions,Total_Transaction_Records,Successful_Transactions,Failed_Transactions,Total_Transaction_Value,Total_Fees,Total_Profit,Products_With_Transactions,Avg_Transaction_Value,Engagement_Days,Total_Logins,Push_Notifications_Opened,Email_Clicks,Support_Tickets,Avg_Satisfaction_Score,Latest_CLV,Latest_Total_Revenue,Latest_Total_Transactions,Latest_Products_Used,Latest_Days_Since_Last_Login
CUST000013,"Registered Business Name",Micro,Retail,Lagos,Surulere,"2025-07-12 00:00:00",2025-07-01,2.00,1,958569.00,81.80,Active,Website,0,NULL,NULL,0,0,16,12,4,709766.59,3697.70,1739.75,1,44360.41,6,17,2,9,0,5.72,2734.47,1939.34,12,1,9
CUST000014,"Limited Liability Company",Micro,Retail,Delta,Asaba,"2025-02-26 00:00:00",2025-02-01,8.90,1,707799.00,37.00,Inactive,,1,"2025-06-20 00:00:00",114,5,29,36,36,0,1034414.09,4615.87,2334.00,3,31345.88,11,20,1,10,1,6.88,NULL,2440.85,36,3,12
CUST000015,"Sole Proprietorship",Small,FMCG,FCT,Kubwa,"2024-12-05 00:00:00",2024-12-01,8.80,6,1356617.00,31.10,Active,Referral,1,"2025-08-11 00:00:00",249,9,79,61,58,3,3438973.54,18942.03,10173.29,3,58287.69,13,80,20,15,0,6.69,23976.55,10266.13,58,3,14
CUST000016,"Sole Proprietorship",Micro,FMCG,Rivers,Bonny,"2025-07-21 00:00:00",2025-07-01,9.20,2,188950.00,42.70,Active,"Social Media",0,NULL,NULL,0,0,19,19,0,141826.27,631.15,455.71,2,7464.54,6,15,1,5,0,5.80,741.89,472.54,19,2,3
CUST000017,"Sole Proprietorship",Small,"Fuel Station",Enugu,Udi,"2024-03-27 00:00:00",2024-03-01,11.40,10,1762507.00,42.00,Active,"Field Sales",0,NULL,NULL,0,0,131,122,9,23362997.74,300483.45,161441.15,3,182523.42,22,103,21,17,1,6.22,283430.07,163832.41,122,3,28
CUST000018,"Agent Network",Micro,Logistics,Delta,Warri,"2025-03-11 00:00:00",2025-03-01,10.80,2,458099.00,44.60,Active,"Trade Fair",0,NULL,NULL,0,0,17,16,1,235795.30,1682.48,872.49,1,16842.52,10,20,3,6,0,5.81,1230.21,872.49,16,1,4
CUST000019,"Sole Proprietorship",Small,"Food & Restaurant",Oyo,Ogbomosho,"2025-10-14 00:00:00",2025-10-01,3.20,10,2737182.00,44.80,Active,"Field Sales",0,NULL,NULL,0,0,30,27,3,2945729.20,16171.30,7538.46,2,105204.61,3,10,1,5,1,5.80,12598.56,8024.56,27,2,4
CUST000020,"Registered Business Name",Small,Logistics,Abia,Umuahia,"2025-05-03 00:00:00",2025-05-01,15.60,6,2921451.00,62.00,Active,"Social Media",0,NULL,NULL,0,0,19,17,2,2270275.41,11770.22,6140.87,1,119488.18,8,46,5,6,0,6.39,8658.63,6140.87,17,1,27
CUST000021,"Limited Liability Company",Medium,Fashion,Kaduna,Kaduna,"2025-10-20 00:00:00",2025-10-01,4.10,48,3677009.00,29.90,Active,Referral,0,NULL,NULL,0,0,16,16,0,4209159.49,37393.31,17367.34,5,263072.47,3,28,9,0,0,6.33,35603.05,17367.34,16,5,7
CUST000022,"Sole Proprietorship",Small,Pharmacy,FCT,Abuja,"2025-07-31 00:00:00",2025-07-01,6.60,9,1632809.00,75.00,Active,"Partner Bank",0,NULL,NULL,0,0,0,0,0,0.00,0.00,0.00,0,NULL,1,1,0,0,0,6.00,0.00,0.00,0,0,137
CUST000023,"Registered Business Name",Medium,FMCG,Anambra,Awka,"2025-08-29 00:00:00",2025-08-01,3.40,65,8685011.00,NULL,Active,"Social Media",1,"2025-10-04 00:00:00",36,5,33,51,44,7,15627085.99,87298.85,46216.58,5,318920.12,5,48,15,5,1,6.58,127904.39,46216.58,44,5,15
CUST000024,"Limited Liability Company",Small,Fashion,Kwara,Offa,"2025-04-21 00:00:00",2025-04-01,3.00,12,3374469.00,17.80,Active,"Field Sales",0,NULL,NULL,0,0,36,35,1,4525340.05,22722.25,13483.53,3,129295.43,9,31,7,14,0,7.27,23326.51,13483.53,35,3,23
CUST000025,"Registered Business Name",Medium,Fashion,FCT,Gwarinpa,"2024-03-28 00:00:00",2024-03-01,8.00,NULL,8643003.00,12.10,Active,"Field Sales",1,"2025-04-28 00:00:00",396,11,83,138,130,8,56122425.31,248724.69,137373.39,4,425169.89,22,278,76,24,2,7.23,353646.12,138603.22,130,4,30
CUST000026,"Sole Proprietorship",Small,Agriculture,Lagos,Lekki,"2025-05-10 00:00:00",2025-05-01,2.50,10,NULL,49.80,Active,"Field Sales",0,NULL,NULL,0,0,38,37,1,1991224.62,14707.92,7425.58,2,58565.43,8,36,10,9,0,6.24,12170.62,7751.99,37,2,23
CUST000027,"Registered Business Name",Micro,Retail,Plateau,Bukuru,"2024-04-26 00:00:00",2024-04-01,1.20,1,406695.00,41.90,Active,"Trade Fair",0,NULL,NULL,0,0,89,78,11,1596597.48,8534.01,5322.23,2,18143.15,21,64,17,19,0,6.67,8556.36,5449.91,78,2,27
CUST000028,"Sole Proprietorship",Micro,Electronics,Kano,Kano,"2024-07-31 00:00:00",2024-07-01,5.90,2,353385.00,50.10,Active,Referral,0,NULL,NULL,0,0,49,46,3,774451.21,5422.31,2516.18,2,16134.40,18,45,5,8,1,6.71,4156.75,2647.61,46,2,13
CUST000029,"Sole Proprietorship",Small,Electronics,Plateau,Bukuru,"2024-04-27 00:00:00",2024-04-01,NULL,14,1288210.00,54.40,Active,"Agent Network",0,NULL,NULL,0,0,145,133,12,23019380.95,292151.37,155830.06,4,168024.68,21,118,37,26,2,6.18,300262.11,158868.84,133,4,24
CUST000030,"Sole Proprietorship",Micro,"Fuel Station",Edo,Ekpoma,"2025-08-24 00:00:00",2025-08-01,6.30,1,710454.00,32.70,Active,Referral,0,NULL,NULL,0,0,10,9,1,308509.45,1889.69,824.36,2,30850.95,5,13,4,6,1,5.84,1294.25,824.36,9,2,28
CUST000031,"Limited Liability Company",Small,"Food & Restaurant",Oyo,Oyo,"2024-04-28 00:00:00",2024-04-01,7.40,18,1435186.00,38.10,Inactive,Referral,0,NULL,NULL,0,0,65,55,10,8194453.43,68231.54,37643.02,2,130070.69,21,84,22,11,1,6.42,59585.60,37952.61,55,2,9
CUST000032,"Sole Proprietorship",Small,Fashion,Lagos,Yaba,"2025-04-17 00:00:00",2025-04-01,3.40,7,1974641.00,54.00,Active,Referral,0,NULL,NULL,0,0,28,24,4,2226484.72,16820.91,8693.78,1,79517.31,9,54,15,5,0,6.74,NULL,9040.88,24,1,28
CUST000033,"Sole Proprietorship",Small,"Beauty & Personal Care",Oyo,Oyo,"2025-08-24 00:00:00",2025-08-01,5.90,15,884598.00,32.80,Inactive,"Field Sales",1,"2025-12-18 00:00:00",116,2,22,15,14,1,498980.43,2963.60,1055.59,3,33265.36,5,19,2,3,0,6.68,3715.08,1590.70,14,3,14
CUST000034,"Agent Network",Enterprise,FMCG,Lagos,Alaba,"2024-04-12 00:00:00",2024-04-01,4.30,350,27313153.00,48.40,Inactive,Referral,0,NULL,NULL,0,0,230,215,15,305576792.52,2065912.14,1042525.08,4,1352109.70,21,272,80,21,1,7.11,1233746.17,2733951.86,215,4,12
CUST000035,"Registered Business Name",Enterprise,Agriculture,Anambra,Awka,"2025-03-30 00:00:00",2025-03-01,5.60,166,16738488.00,46.90,Active,"Field Sales",1,"2025-06-14 00:00:00",76,2,6,71,64,7,40219217.25,209645.23,105975.60,3,574560.25,10,185,56,16,0,7.12,265625.36,113733.83,64,3,10
CUST000036,"Sole Proprietorship",Micro,Pharmacy,Edo,"Benin City","2025-01-28 00:00:00",2025-01-01,3.40,4,246982.00,45.40,Active,"Field Sales",0,NULL,NULL,0,0,0,0,0,0.00,0.00,0.00,0,NULL,12,37,6,8,1,6.10,0.00,0.00,0,0,4
CUST000037,"Sole Proprietorship",Small,Pharmacy,Delta,Asaba,"2025-10-13 00:00:00",2025-10-01,7.40,9,2345339.00,21.00,Active,"Partner Bank",1,"2025-12-04 00:00:00",52,1,12,19,19,0,1473360.81,7563.02,4904.74,2,81853.38,3,17,3,5,2,7.03,NULL,4904.74,19,2,26
CUST000038,"Registered Business Name",Medium,"Fuel Station",Niger,Bida,"2024-12-12 00:00:00",2024-12-01,4.00,72,16990839.00,15.90,Active,"Field Sales",0,NULL,NULL,0,0,36,35,1,71513231.31,626553.19,313880.59,3,2103330.33,13,130,39,15,2,7.47,1233746.17,1203638.97,35,3,28
CUST000039,Partnership,Micro,Retail,Edo,Ekpoma,"2024-11-05 00:00:00",2024-11-01,4.20,4,280310.00,82.40,Churned,"Social Media",0,NULL,NULL,0,0,37,33,4,324005.02,1275.91,699.20,2,9257.29,12,26,4,9,0,6.69,1097.74,699.20,33,2,3
CUST000040,"Limited Liability Company",Medium,Retail,Anambra,Nnewi,"2024-03-03 00:00:00",2024-03-01,3.70,46,4155639.00,35.30,Inactive,"Agent Network",1,"2025-02-08 00:00:00",342,14,107,172,159,13,28496803.19,144465.39,79196.53,4,170639.54,22,264,73,31,0,6.72,204943.32,80322.68,159,4,6
CUST000041,"Registered Business Name",Medium,Retail,Ogun,Sagamu,"2025-08-25 00:00:00",2025-08-01,1.30,41,3769475.00,28.40,Inactive,Referral,1,"2025-10-04 00:00:00",40,5,48,18,16,2,2193960.77,8581.33,4245.71,3,121886.71,5,51,14,6,0,6.52,10103.89,4326.22,16,3,10
CUST000042,"Limited Liability Company",Micro,Fashion,Lagos,Ikorodu,"2025-10-01 00:00:00",2025-10-01,5.60,5,481478.00,74.40,Active,"Social Media",0,NULL,NULL,0,0,15,12,3,192741.52,1325.45,717.61,2,13767.25,3,5,0,1,0,7.43,1171.66,746.28,12,2,29
CUST000043,"Registered Business Name",Micro,FMCG,Lagos,Mushin,"2024-11-16 00:00:00",2024-11-01,1.40,3,391224.00,62.80,Active,"Partner Bank",0,NULL,NULL,0,0,36,34,2,475906.89,3077.38,1561.12,2,13597.34,14,34,6,11,1,6.24,2645.03,1684.73,34,2,22
CUST000044,"Limited Liability Company",Small,"Fuel Station",Kano,Dala,"2024-04-16 00:00:00",2024-04-01,5.90,15,1712835.00,52.50,Active,"Field Sales",0,NULL,NULL,0,0,76,68,8,7336201.88,33301.10,14878.77,2,99137.86,21,136,32,15,1,6.76,26676.56,16991.44,68,2,14
CUST000045,"Sole Proprietorship",Micro,FMCG,Lagos,Surulere,"2025-08-02 00:00:00",2025-08-01,2.20,4,471233.00,36.70,Active,"Social Media",0,NULL,NULL,0,0,6,6,0,53392.61,587.66,285.06,1,10678.52,5,11,1,7,1,7.56,401.93,285.06,6,1,8
CUST000046,"Agent Network",Small,Retail,Rivers,Bonny,"2025-11-25 00:00:00",2025-11-01,2.80,16,2012744.00,86.30,Churned,"Field Sales",0,NULL,NULL,0,0,9,9,0,533696.04,2301.02,1028.34,2,59299.56,2,3,0,2,0,5.90,1818.91,1158.54,9,2,47
CUST000047,"Limited Liability Company",Medium,Agriculture,Lagos,Ikeja,"2025-03-22 00:00:00",2025-03-01,4.60,22,5994585.00,34.50,Active,Referral,0,NULL,NULL,0,0,32,23,9,5005228.55,26076.96,14578.96,1,166840.95,10,99,22,7,0,6.42,20556.33,14578.96,23,1,14
CUST000048,"Limited Liability Company",Micro,Retail,FCT,Abuja,"2025-06-27 00:00:00",2025-06-01,2.10,NULL,141593.60,44.50,Active,"Field Sales",1,"2025-08-13 00:00:00",47,4,30,7,7,0,67048.40,255.09,136.70,2,9578.34,7,23,4,8,0,7.87,344.08,162.34,7,2,5
CUST000049,"Limited Liability Company",Enterprise,FMCG,Benue,Gboko,"2024-06-03 00:00:00",2024-06-01,3.20,306,12347038.00,28.50,Active,Referral,0,NULL,NULL,0,0,118,113,5,64784224.92,298839.62,159770.47,2,578430.58,19,200,70,14,2,6.95,257273.31,163868.35,113,2,6
CUST000050,"Registered Business Name",Small,FMCG,FCT,Gwarinpa,"2024-03-04 00:00:00",2024-03-01,2.40,13,1062423.00,47.30,Active,Referral,1,"2025-03-11 00:00:00",372,11,114,143,125,18,5640007.50,32430.27,16387.54,3,39718.36,22,139,45,19,2,7.02,NULL,17461.95,125,3,5
CUST000051,"Registered Business Name",Medium,"Fuel Station",Kano,Wudil,"2024-12-07 00:00:00",2024-12-01,4.20,26,6678843.00,58.30,Active,Referral,0,NULL,NULL,0,0,153,141,12,37456177.99,204061.96,104391.98,3,248054.16,13,106,33,8,0,6.36,185492.50,107221.10,141,3,22
CUST000052,"Registered Business Name",Small,Pharmacy,Lagos,Yaba,"2024-10-29 00:00:00",2024-10-01,9.00,19,2808433.00,42.10,Active,"Partner Bank",1,"2025-07-20 00:00:00",264,6,45,64,55,9,7233495.13,26579.07,14472.34,3,116669.28,15,95,24,17,0,6.62,34149.24,14621.81,55,3,14
CUST000053,"Sole Proprietorship",Small,"Food & Restaurant",Edo,Auchi,"2025-11-25 00:00:00",2025-11-01,4.10,15,NULL,80.40,Inactive,"Agent Network",0,NULL,NULL,0,0,0,0,0,0.00,0.00,0.00,0,NULL,2,3,1,0,0,6.60,NULL,0.00,0,0,NULL
CUST000054,"Sole Proprietorship",Micro,"Food & Restaurant",FCT,Garki,"2024-04-03 00:00:00",2024-04-01,4.10,2,900931.00,49.00,Churned,"Field Sales",0,NULL,NULL,0,0,0,0,0,0.00,0.00,0.00,0,NULL,1,8,2,2,0,7.10,0.00,0.00,0,0,104
CUST000055,"Sole Proprietorship",Micro,Wholesale,FCT,Gwarinpa,"2025-04-25 00:00:00",2025-04-01,2.70,4,1429845.00,78.90,Active,Referral,0,NULL,NULL,0,0,0,0,0,0.00,0.00,0.00,0,NULL,3,8,0,4,0,5.80,0.00,0.00,0,0,12
CUST000056,"Agent Network",Micro,Retail,"Akwa Ibom","Ikot Ekpene","2025-07-02 00:00:00",2025-07-01,3.90,1,603190.00,47.00,Active,"Field Sales",0,NULL,NULL,0,0,0,0,0,0.00,0.00,0.00,0,NULL,1,2,0,1,0,5.70,0.00,0.00,0,0,90
CUST000057,"Agent Network",Enterprise,Fashion,Ogun,"Sango Ota","2024-02-14 00:00:00",2024-02-01,9.90,279,14093880.00,41.30,Active,"Social Media",1,"2024-11-01 00:00:00",261,25,196,296,271,25,181214466.05,962391.57,499651.78,3,627039.67,23,424,113,27,0,7.12,1210905.86,518478.21,271,3,NULL
CUST000058,"Registered Business Name",Micro,Electronics,Oyo,Ibadan,"2025-11-02 00:00:00",2025-11-01,4.30,3,154912.00,60.70,Churned,"Trade Fair",0,NULL,NULL,0,0,0,0,0,0.00,0.00,0.00,0,NULL,2,3,1,1,0,4.80,0.00,0.00,0,0,21
CUST000059,"Sole Proprietorship",Small,FMCG,Lagos,Ikorodu,"2024-11-09 00:00:00",2024-11-01,3.90,NULL,1981815.00,59.50,Active,"Trade Fair",1,"2025-08-16 00:00:00",280,3,36,62,58,4,14899295.52,171599.07,87410.50,4,240311.22,14,106,30,18,1,6.70,231795.79,90846.87,58,4,9
CUST000060,"Registered Business Name",Micro,Retail,Rivers,Bonny,"2025-01-15 00:00:00",2025-01-01,4.30,4,805805.00,NULL,Active,"Field Sales",0,NULL,NULL,0,0,47,43,4,1903567.94,10722.69,5507.39,3,41381.91,12,25,6,12,0,7.19,9602.59,5550.63,43,3,105
CUST000061,Partnership,Medium,"Food & Restaurant",Lagos,Yaba,"2025-04-07 00:00:00",2025-04-01,7.80,32,10796374.00,37.00,Churned,"Field Sales",0,NULL,NULL,0,0,72,64,8,27517622.78,184127.35,87567.81,3,387572.15,9,91,26,4,0,6.01,NULL,NULL,64,3,11
CUST000062,"Sole Proprietorship",Small,"Food & Restaurant",Ondo,Akure,"2025-09-18 00:00:00",2025-09-01,8.50,20,1016907.00,63.10,Active,"Agent Network",1,"2025-11-20 00:00:00",63,4,31,23,21,2,1421935.41,5960.81,2852.01,4,61823.28,4,23,4,5,2,6.53,7276.90,2852.01,21,4,20
CUST000063,"Sole Proprietorship",Small,FMCG,Lagos,Lekki,"2024-12-20 00:00:00",2024-12-01,1.90,14,945964.00,27.20,Active,"Field Sales",0,NULL,NULL,0,0,84,79,5,3130739.41,15044.57,8399.15,3,37719.75,13,53,12,5,1,6.63,15241.63,8810.19,79,3,33
CUST000064,"Registered Business Name",Micro,Fashion,Kano,Kano,"2025-05-24 00:00:00",2025-05-01,3.40,5,414409.00,51.60,Active,"Field Sales",0,NULL,NULL,0,0,16,16,0,268140.48,1601.60,840.67,1,16758.78,8,21,3,10,0,6.61,1185.34,840.67,16,1,20
CUST000065,Partnership,Micro,FMCG,Kano,Dala,"2024-09-04 00:00:00",2024-09-01,1.20,4,235603.00,68.30,Inactive,"Trade Fair",1,"2025-05-12 00:00:00",250,9,72,43,40,3,412348.97,1705.06,908.84,2,10057.29,16,38,8,16,1,6.84,1935.15,NULL,40,2,27
CUST000066,"Sole Proprietorship",Micro,"Food & Restaurant",Oyo,Oyo,"2024-02-19 00:00:00",2024-02-01,7.60,1,269529.00,41.90,Active,"Field Sales",0,NULL,NULL,0,0,92,86,6,1401675.13,6515.36,3418.96,3,15403.02,23,61,12,22,1,6.20,5952.45,3440.72,86,3,37
CUST000067,"Registered Business Name",Micro,FMCG,Rivers,Bonny,"2025-09-30 00:00:00",2025-09-01,2.60,5,276212.00,50.50,Active,"Field Sales",0,NULL,NULL,0,0,10,9,1,137370.81,759.85,409.29,2,13737.08,4,13,0,8,0,6.60,642.59,409.29,9,2,13
CUST000068,"Limited Liability Company",Medium,Fashion,FCT,Kubwa,"2025-06-29 00:00:00",2025-06-01,4.00,52,7804393.00,44.00,Churned,"Trade Fair",0,NULL,NULL,0,0,43,36,7,15931700.53,74280.70,37364.39,2,370504.66,7,53,13,2,0,6.64,61862.07,39402.59,36,2,4
CUST000069,"Registered Business Name",Micro,Electronics,Lagos,Yaba,"2024-07-14 00:00:00",2024-07-01,2.60,1,408924.00,40.50,Active,"Agent Network",0,NULL,NULL,0,0,54,51,3,855684.39,6854.64,3510.43,2,16144.99,18,31,2,18,1,5.69,5626.77,3583.93,51,2,12
CUST000070,"Registered Business Name",Small,Electronics,Abia,Umuahia,"2025-09-16 00:00:00",2025-09-01,2.80,13,1197578.00,34.90,Active,"Field Sales",0,NULL,NULL,0,0,0,0,0,0.00,0.00,0.00,0,NULL,4,20,6,4,0,5.90,0.00,0.00,0,0,25
CUST000071,"Registered Business Name",Micro,Agriculture,Lagos,Ikeja,"2024-10-21 00:00:00",2024-10-01,5.10,1,346985.00,15.40,Inactive,"Partner Bank",0,NULL,NULL,0,0,21,20,1,305352.74,1619.65,881.29,1,14540.61,15,32,3,12,0,7.54,1242.62,881.29,20,1,10
CUST000072,Partnership,Micro,Logistics,Lagos,Surulere,"2024-01-06 00:00:00",2024-01-01,7.30,5,1507096.00,46.00,Active,"Field Sales",0,NULL,NULL,0,0,0,0,0,0.00,0.00,0.00,0,NULL,4,9,2,2,0,5.70,0.00,0.00,0,0,52
CUST000073,"Registered Business Name",Small,Wholesale,Kwara,Ilorin,"2025-03-03 00:00:00",2025-03-01,1.00,20,2302941.00,15.00,Active,Referral,0,NULL,NULL,0,0,109,103,6,15111737.47,147284.35,75212.87,4,143921.31,10,34,6,11,1,6.80,143771.64,76069.65,103,4,9
CUST000074,"Registered Business Name",Small,Logistics,Lagos,Mushin,"2025-03-13 00:00:00",2025-03-01,NULL,14,1328816.00,23.10,Active,"Field Sales",1,"2025-09-05 00:00:00",176,8,64,87,82,5,4908367.33,22259.65,11872.79,4,57745.50,10,85,26,12,0,7.45,30360.43,11899.05,82,4,8
CUST000075,"Registered Business Name",Small,"Fuel Station",Ogun,Sagamu,"2024-08-12 00:00:00",2024-08-01,4.10,8,1642616.00,NULL,Active,"Agent Network",0,NULL,NULL,0,0,118,111,7,8927784.36,52154.53,26439.69,4,79006.94,17,77,25,7,0,6.49,50328.79,NULL,111,4,26
CUST000076,"Registered Business Name",Micro,"Food & Restaurant",Lagos,Alaba,"2024-04-29 00:00:00",2024-04-01,4.70,2,NULL,40.20,Inactive,"Field Sales",0,NULL,NULL,0,0,87,84,3,2475769.05,13804.62,6780.06,3,29473.44,21,52,7,17,1,6.29,12274.09,7094.85,84,3,7
CUST000077,"Registered Business Name",Micro,Retail,Rivers,"Port Harcourt","2025-07-08 00:00:00",2025-07-01,4.50,1,310148.00,29.10,Active,Website,0,NULL,NULL,0,0,41,39,2,482723.95,3388.26,1801.17,3,13046.59,6,13,2,7,0,6.48,3210.78,1855.94,39,3,18
CUST000078,"Limited Liability Company",Small,Pharmacy,Lagos,Ikeja,"2024-11-01 00:00:00",2024-11-01,3.80,13,2356815.00,72.50,Active,Website,0,NULL,NULL,0,0,73,63,10,7307066.44,36600.11,20859.14,4,101487.03,14,57,13,6,0,6.00,NULL,20909.90,63,4,7
CUST000079,"Sole Proprietorship",Micro,Logistics,Rivers,Obio-Akpor,"2025-07-06 00:00:00",2025-07-01,6.20,2,NULL,61.50,Churned,Website,0,NULL,NULL,0,0,13,13,0,843279.72,3500.19,1769.05,2,70273.31,6,15,4,7,0,7.65,2777.41,1769.05,13,2,15
CUST000080,Partnership,Medium,Electronics,Delta,Sapele,"2025-03-02 00:00:00",2025-03-01,5.00,47,4015875.00,32.00,Inactive,"Field Sales",0,NULL,NULL,0,0,109,99,10,38178190.70,386006.24,185358.31,4,374295.99,10,80,20,11,0,6.12,366659.85,193999.92,99,4,25
CUST000081,"Agent Network",Small,Retail,Oyo,Ibadan,"2024-03-15 00:00:00",2024-03-01,2.70,9,3203537.00,60.80,Active,Website,0,NULL,NULL,0,0,119,108,11,24430329.60,236667.56,122865.09,3,214301.14,22,105,25,27,2,6.23,217383.20,125655.03,108,3,30
CUST000082,"Limited Liability Company",Small,FMCG,Oyo,Iseyin,"2025-04-22 00:00:00",2025-04-01,3.60,7,4333412.00,39.60,Active,"Field Sales",0,NULL,NULL,0,0,0,0,0,0.00,0.00,0.00,0,NULL,1,3,0,1,0,7.50,0.00,0.00,0,0,233
CUST000083,"Sole Proprietorship",Small,Pharmacy,Lagos,Lekki,"2025-01-23 00:00:00",2025-01-01,7.90,15,3009347.00,68.40,Inactive,"Partner Bank",1,"2025-06-05 00:00:00",133,13,100,37,34,3,3386277.57,11866.75,5861.66,3,94063.27,12,84,23,15,0,6.41,14661.94,6277.86,34,3,19
CUST000084,"Sole Proprietorship",Micro,Retail,Kaduna,Kaduna,"2024-06-03 00:00:00",2024-06-01,7.10,1,276268.00,13.80,Active,Website,1,"2025-12-11 00:00:00",556,1,15,24,20,4,217269.22,1461.16,738.53,2,9052.88,19,49,5,20,3,6.68,1627.82,768.02,20,2,7
CUST000085,"Sole Proprietorship",Medium,Retail,Lagos,Surulere,"2024-09-03 00:00:00",2024-09-01,2.90,33,7016331.00,33.60,Inactive,"Field Sales",1,"2025-07-27 00:00:00",327,7,48,121,115,6,41545408.31,247915.15,143682.44,4,352079.73,16,156,37,10,0,6.81,441061.48,172863.60,115,4,26
